R55,43680.730621,0.030616,43680.730759,43680.761383
R56,43681.244745,0.021360,43681.244827,43681.266192
R57,43681.442345,0.026941,43681.442406,43681.469350
R58,43681.511641,0.044893,43681.511680,43681.556575
R59,43681.782690,0.197754,43681.782754,43681.980512
R60,43681.844711,0.011230,43681.980633,43681.991865
R61,43681.881071,0.119092,43681.991920,43682.111014
R62,43682.109191,0.227786,43682.111098,43682.338886
R63,43683.503777,0.040266,43683.503892,43683.544167
R64,43683.888423,0.038326,43683.888517,43683.926849
R65,43684.350357,0.022026,43684.350442,43684.372473
R66,43684.466584,0.023355,43684.466660,43684.490018
R67,43684.759392,0.109777,43684.759435,43684.869215
R68,43684.814577,0.131443,43684.869280,43685.000725
R69,43684.859311,0.113898,43685.000766,43685.114665
R70,43684.919088,0.249818,43685.114702,43685.364521
R71,43684.944933,0.061436,43685.364555,43685.425991
R72,43684.962943,0.022877,43685.426028,43685.448905
R73,43685.027580,0.109934,43685.448936,43685.558871
R74,43685.560435,0.285300,43685.560467,43685.845768
R75,43685.916719,0.118834,43685.916752,43686.035587
R76,43686.256809,0.012076,43686.256842,43686.268920
R77,43686.289574,0.006788,43686.289604,43686.296394
R78,43686.534448,0.019082,43686.534502,43686.553590
R79,43686.558657,0.142751,43686.558696,43686.701448
R80,43686.764974,0.117406,43686.765009,43686.882417
R81,43687.048934,0.014312,43687.048973,43687.063287
R82,43687.066758,0.019047,43687.066797,43687.085867
R83,43691.051763,0.011172,43691.051867,43691.063045
R84,43691.787514,0.004631,43691.787571,43691.792205
R85,43693.827234,0.006256,43693.827309,43693.833573
R86,43694.508766,0.213737,43694.508809,43694.722549
R87,43694.510200,0.016575,43694.722626,43694.739202
R88,43694.810619,0.041423,43694.810673,43694.852098
R89,43694.870041,0.142759,43694.870080,43695.012841
R90,43695.684169,0.067004,43695.684223,43695.751229
R91,43695.832531,0.050211,43695.832566,43695.882779
R92,43696.121292,0.008747,43696.121324,43696.130072
R93,43696.508962,0.117992,43696.509024,43696.627019
R94,43696.761282,0.404774,43696.761318,43697.166097
R95,43696.882261,0.175048,43697.166159,43697.341212
R96,43697.169064,0.082609,43697.341305,43697.423915
R97,43697.628300,0.114795,43697.628351,43697.743148
R98,43697.640380,0.216275,43697.743212,43697.959488
R99,43698.237511,0.148173,43698.237593,43698.385774
R100,43698.926399,0.113487,43698.926502,43699.039997
R101,43700.221339,0.342518,43700.221464,43700.563989
R102,43701.000462,0.057307,43701.000535,43701.057847
R103,43701.366963,0.147669,43701.366998,43701.514669
R104,43701.426706,0.006677,43701.514741,43701.521419
R105,43702.159369,0.023756,43702.159445,43702.183205
R106,43702.509172,0.021687,43702.509267,43702.530958
R107,43702.840273,0.031755,43702.840359,43702.872120
R108,43703.242377,0.021935,43703.242411,43703.264348
R109,43703.375298,0.083549,43703.375330,43703.458884
R110,43703.401053,0.087755,43703.458979,43703.546736
R111,43703.485481,0.296387,43703.546804,43703.843193
R112,43703.723789,0.065824,43703.843248,43703.909073
R113,43703.833350,0.010019,43703.909108,43703.919128
R114,43704.256844,0.074818,43704.256873,43704.331693
R115,43704.469449,0.049959,43704.469480,43704.519440
R116,43705.432230,0.156817,43705.432314,43705.589136
R117,43705.568998,0.000270,43705.589233,43705.589503
R118,43705.759071,0.076042,43705.759102,43705.835145
R119,43705.900127,0.022203,43705.900160,43705.922364
R120,43706.497273,0.054968,43706.497336,43706.552308
R121,43706.872516,0.030315,43706.872581,43706.902900
R122,43707.091836,0.016798,43707.091893,43707.108692
R123,43707.506987,0.003477,43707.507072,43707.510557
R124,43707.831227,0.099223,43707.831287,43707.930513
R125,43708.009422,0.084593,43708.009458,43708.094052
R126,43708.383027,0.017009,43708.383077,43708.400088
R127,43708.525184,0.082217,43708.525217,43708.607435
R128,43708.838324,0.033171,43708.838352,43708.871524
R129,43709.275699,0.018826,43709.275728,43709.294555
R130,43709.725369,0.096201,43709.725438,43709.821643
R131,43710.571190,0.024785,43710.571229,43710.596016
R132,43710.924192,0.007644,43710.924238,43710.931884
R133,43711.177655,0.174891,43711.177686,43711.352578
R134,43711.278281,0.008202,43711.352629,43711.360832
R135,43711.664564,0.037399,43711.664594,43711.701994
R136,43711.703921,0.074955,43711.703951,43711.778907
R137,43711.990499,0.028398,43711.990525,43712.018923
R138,43712.356619,0.028351,43712.356646,43712.384998
R139,43712.855021,0.017534,43712.855048,43712.872584
R140,43712.988375,0.000299,43712.988406,43712.988706
R141,43714.374470,0.033557,43714.374536,43714.408095
R142,43714.960130,0.047799,43714.960193,43715.007995
R143,43715.029699,0.209371,43715.029731,43715.239103
R144,43716.091541,0.100075,43716.091591,43716.191667
R145,43716.574201,0.096473,43716.574288,43716.670771
R146,43716.617346,0.124036,43716.670907,43716.794944
R147,43716.778819,0.206683,43716.794995,43717.001678
R148,43717.734105,0.018966,43717.734161,43717.753130
R149,43718.394205,0.066181,43718.394304,43718.460493
R150,43718.920449,0.196097,43718.920624,43719.116727
R151,43719.038172,0.172609,43719.116809,43719.289423
R152,43719.839578,0.071541,43719.839647,43719.911191
R153,43720.069471,0.026674,43720.069505,43720.096180
R154,43720.128715,0.056505,43720.128753,43720.185259
R155,43720.795230,0.157508,43720.795276,43720.952786
R156,43721.002955,0.028665,43721.002985,43721.031651
R157,43721.231363,0.096048,43721.231395,43721.327445
R158,43721.297715,0.012477,43721.327488,43721.339966
R159,43721.731177,0.056509,43721.731207,43721.787717
R160,43722.039243,0.107356,43722.039275,43722.146632
R161,43722.646272,0.020915,43722.646302,43722.667219
R162,43722.711731,0.010772,43722.711755,43722.722528
R163,43722.941833,0.037248,43722.941862,43722.979112
R164,43722.991452,0.223892,43722.991481,43723.215374
